step,loss,sdf_loss,dro_loss,time
0,0.21748733520507812,0.20729376375675201,0.25826162099838257,1.422085533849895
1,0.211185023188591,0.2009696364402771,0.2520465850830078,0.03807981498539448
2,0.21557295322418213,0.20535150170326233,0.25645869970321655,0.03982472140341997
3,0.20772361755371094,0.1974930614233017,0.2486458718776703,0.0396023066714406
4,0.20850926637649536,0.19823959469795227,0.24958793818950653,0.039931520819664
5,0.20575717091560364,0.1954386979341507,0.2470310926437378,0.03921493235975504
6,0.19263644516468048,0.181940495967865,0.23542025685310364,0.039749978110194206
7,0.20474658906459808,0.19414623081684113,0.24714799225330353,0.039752122946083546
8,0.20921997725963593,0.19874253869056702,0.25112971663475037,0.04098248481750488
9,0.1870926022529602,0.17630569636821747,0.23024021089076996,0.03941701911389828
10,0.20624597370624542,0.19567540287971497,0.24852827191352844,0.03941703587770462
11,0.19870057702064514,0.1880050152540207,0.24148280918598175,0.03958459664136171
12,0.19919586181640625,0.18840284645557404,0.24236786365509033,0.04176104813814163
13,0.18313904106616974,0.17219796776771545,0.22690331935882568,0.03628869820386171
14,0.18995705246925354,0.17885011434555054,0.2343847155570984,0.03609935101121664
15,0.1754118800163269,0.16406957805156708,0.22078107297420502,0.03625813592225313
16,0.1573246270418167,0.14565099775791168,0.20401915907859802,0.036851794458925724
17,0.1513972133398056,0.1394309252500534,0.1992623656988144,0.03616940602660179
18,0.15930894017219543,0.14733780920505524,0.20719344913959503,0.03669408056885004
19,0.16654559969902039,0.15474045276641846,0.2137661874294281,0.03680417314171791
20,0.15502898395061493,0.14278915524482727,0.20398831367492676,0.03665716666728258
21,0.15366949141025543,0.141604483127594,0.20192950963974,0.03747007064521313
22,0.13748569786548615,0.12489648163318634,0.18784256279468536,0.0361137455329299
23,0.13237252831459045,0.12007621675729752,0.1815577894449234,0.03685684222728014
24,0.14085319638252258,0.12852363288402557,0.19017140567302704,0.03619665652513504
25,0.11931736767292023,0.10681596398353577,0.16932296752929688,0.03701408952474594
